Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
Overriding: compile = False
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 122,880
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
step 0: train loss 10.8320, val loss 10.8321
iter 290: loss 7.4648, time 2073.41ms, mfu -100.00%
iter 291: loss 7.2587, time 2074.67ms, mfu -100.00%
iter 292: loss 7.2234, time 2075.83ms, mfu -100.00%
iter 293: loss 7.4355, time 2076.19ms, mfu -100.00%
iter 294: loss 7.5896, time 2074.87ms, mfu -100.00%
iter 295: loss 7.3696, time 2077.01ms, mfu -100.00%
iter 296: loss 7.6733, time 2074.61ms, mfu -100.00%
iter 297: loss 7.9278, time 2075.11ms, mfu -100.00%
iter 298: loss 7.3465, time 2072.43ms, mfu -100.00%
iter 299: loss 7.0978, time 2079.38ms, mfu -100.00%
iter 300: loss 7.1283, time 2071.41ms, mfu -100.00%
iter 301: loss 7.2129, time 2077.57ms, mfu -100.00%
iter 302: loss 7.4268, time 2075.81ms, mfu -100.00%
iter 303: loss 7.0705, time 2074.60ms, mfu -100.00%
iter 304: loss 7.0723, time 2074.15ms, mfu -100.00%
iter 305: loss 7.5762, time 2078.02ms, mfu -100.00%
iter 306: loss 7.0041, time 2074.16ms, mfu -100.00%
iter 307: loss 7.0387, time 2075.18ms, mfu -100.00%
iter 308: loss 6.8954, time 2074.23ms, mfu -100.00%
iter 309: loss 7.6086, time 2075.88ms, mfu -100.00%
iter 310: loss 7.5033, time 2072.99ms, mfu -100.00%
iter 311: loss 6.9841, time 2076.04ms, mfu -100.00%
iter 312: loss 7.1989, time 2073.84ms, mfu -100.00%
iter 313: loss 7.3228, time 2076.23ms, mfu -100.00%
iter 314: loss 7.1995, time 2074.57ms, mfu -100.00%
iter 315: loss 7.1061, time 2074.50ms, mfu -100.00%
iter 316: loss 7.0947, time 2073.06ms, mfu -100.00%
iter 317: loss 7.1470, time 2076.79ms, mfu -100.00%
iter 318: loss 7.0194, time 2072.51ms, mfu -100.00%
iter 319: loss 7.1402, time 2076.43ms, mfu -100.00%
iter 320: loss 7.0159, time 2075.20ms, mfu -100.00%
iter 321: loss 7.1039, time 2075.61ms, mfu -100.00%
iter 322: loss 7.1738, time 2073.53ms, mfu -100.00%
iter 323: loss 7.7674, time 2075.33ms, mfu -100.00%
iter 324: loss 7.1329, time 2074.04ms, mfu -100.00%
iter 325: loss 7.3483, time 2074.98ms, mfu -100.00%
iter 326: loss 6.9663, time 2075.20ms, mfu -100.00%
iter 327: loss 7.7564, time 2075.59ms, mfu -100.00%
iter 328: loss 7.3677, time 2073.07ms, mfu -100.00%
iter 329: loss 7.1022, time 2075.69ms, mfu -100.00%
iter 330: loss 7.1545, time 2075.22ms, mfu -100.00%
iter 331: loss 7.0633, time 2075.25ms, mfu -100.00%
iter 332: loss 7.0541, time 2072.61ms, mfu -100.00%
iter 333: loss 6.7857, time 2075.46ms, mfu -100.00%
iter 334: loss 7.3468, time 2074.51ms, mfu -100.00%
iter 335: loss 6.6766, time 2074.43ms, mfu -100.00%
iter 336: loss 7.3070, time 2074.27ms, mfu -100.00%
iter 337: loss 7.0597, time 2075.41ms, mfu -100.00%
iter 338: loss 6.9963, time 2074.46ms, mfu -100.00%
iter 339: loss 7.0928, time 2078.56ms, mfu -100.00%
iter 340: loss 7.0557, time 2073.67ms, mfu -100.00%
iter 341: loss 7.0337, time 2073.99ms, mfu -100.00%
iter 342: loss 7.7675, time 2075.21ms, mfu -100.00%
iter 343: loss 6.8175, time 2075.97ms, mfu -100.00%
iter 344: loss 7.1244, time 2078.09ms, mfu -100.00%
iter 345: loss 7.0710, time 2075.45ms, mfu -100.00%
iter 346: loss 6.8371, time 2074.38ms, mfu -100.00%
iter 347: loss 7.2323, time 2077.28ms, mfu -100.00%
iter 348: loss 7.6904, time 2074.36ms, mfu -100.00%
iter 349: loss 7.0297, time 2077.41ms, mfu -100.00%
iter 350: loss 7.0608, time 2074.83ms, mfu -100.00%
iter 351: loss 7.0963, time 2074.67ms, mfu -100.00%
iter 352: loss 6.8892, time 2072.69ms, mfu -100.00%
iter 353: loss 6.5139, time 2076.82ms, mfu -100.00%
iter 354: loss 6.5209, time 2073.88ms, mfu -100.00%
iter 355: loss 7.2085, time 2075.19ms, mfu -100.00%
iter 356: loss 7.1412, time 2079.55ms, mfu -100.00%
iter 357: loss 6.8534, time 2076.03ms, mfu -100.00%
iter 358: loss 7.2327, time 2075.09ms, mfu -100.00%
iter 359: loss 6.8655, time 2075.74ms, mfu -100.00%
iter 360: loss 6.9603, time 2072.74ms, mfu -100.00%
iter 361: loss 6.8524, time 2074.56ms, mfu -100.00%
iter 362: loss 6.9688, time 2074.15ms, mfu -100.00%
iter 363: loss 6.7993, time 2075.35ms, mfu -100.00%
iter 364: loss 6.7307, time 2075.32ms, mfu -100.00%
iter 365: loss 6.9177, time 2075.95ms, mfu -100.00%
iter 366: loss 6.8844, time 2075.60ms, mfu -100.00%
iter 367: loss 7.2611, time 2075.03ms, mfu -100.00%
iter 368: loss 7.2208, time 2075.06ms, mfu -100.00%
iter 369: loss 6.7725, time 2078.72ms, mfu -100.00%
iter 370: loss 7.0888, time 2074.01ms, mfu -100.00%
iter 371: loss 6.8378, time 2082.79ms, mfu -100.00%
iter 372: loss 7.0670, time 2074.41ms, mfu -100.00%
iter 373: loss 6.4951, time 2073.54ms, mfu -100.00%
iter 374: loss 6.9909, time 2076.19ms, mfu -100.00%
iter 375: loss 7.6400, time 2075.21ms, mfu -100.00%
iter 376: loss 6.9689, time 2075.41ms, mfu -100.00%
iter 377: loss 7.1729, time 2076.54ms, mfu -100.00%
iter 378: loss 6.4320, time 2073.85ms, mfu -100.00%
iter 379: loss 7.0132, time 2076.36ms, mfu -100.00%
iter 380: loss 7.3955, time 2074.39ms, mfu -100.00%
iter 381: loss 6.5152, time 2076.16ms, mfu -100.00%
iter 382: loss 6.7485, time 2073.16ms, mfu -100.00%
iter 383: loss 6.8466, time 2077.25ms, mfu -100.00%
iter 384: loss 7.1747, time 2074.20ms, mfu -100.00%
iter 385: loss 7.0883, time 2076.85ms, mfu -100.00%
iter 386: loss 6.6956, time 2073.85ms, mfu -100.00%
iter 387: loss 6.7764, time 2076.15ms, mfu -100.00%
iter 388: loss 7.0455, time 2076.32ms, mfu -100.00%
iter 389: loss 6.6401, time 2076.15ms, mfu -100.00%
iter 390: loss 7.1880, time 2073.27ms, mfu -100.00%
iter 391: loss 6.6151, time 2075.69ms, mfu -100.00%
iter 392: loss 7.2204, time 2076.37ms, mfu -100.00%
iter 393: loss 6.9305, time 2076.30ms, mfu -100.00%
iter 394: loss 6.7573, time 2074.60ms, mfu -100.00%
iter 395: loss 7.0399, time 2076.37ms, mfu -100.00%
iter 396: loss 6.9074, time 2074.96ms, mfu -100.00%
iter 397: loss 6.9347, time 2076.51ms, mfu -100.00%
iter 398: loss 7.0372, time 2074.57ms, mfu -100.00%
iter 399: loss 6.7528, time 2077.77ms, mfu -100.00%
